local authority: district / unitary (as of April 2021),mnemonic,Gross Disposable Household Income - GDHI (£m),GDHI per head (£),GDHI per head index (UK = 100)
Barking and Dagenham,E09000002,4079,18667,86.1
Barnet,E09000003,12299,31645,146
Bexley,E09000004,5676,23022,106.2
Brent,E09000005,8758,25842,119.2
Bromley,E09000006,9575,29032,133.9
Camden,E09000007,12330,58604,270.3
City of London,E09000001,1655,192005,885.7
Croydon,E09000008,9498,24323,112.2
Ealing,E09000009,9766,26673,123
Enfield,E09000010,8107,24595,113.5
Greenwich,E09000011,7155,24736,114.1
Hackney,E09000012,7709,29655,136.8
Hammersmith and Fulham,E09000013,8072,44040,203.1
Haringey,E09000014,8419,31874,147
Harrow,E09000015,7186,27535,127
Havering,E09000016,6211,23702,109.3
Hillingdon,E09000017,7008,22994,106.1
Hounslow,E09000018,7249,25174,116.1
Islington,E09000019,8112,37422,172.6
Kensington and Chelsea,E09000020,13087,90917,419.4
Kingston upon Thames,E09000021,5026,29942,138.1
Lambeth,E09000022,10012,31534,145.5
Lewisham,E09000023,7763,25892,119.4
Merton,E09000024,6908,32084,148
Newham,E09000025,7790,22217,102.5
Redbridge,E09000026,7569,24430,112.7
Richmond upon Thames,E09000027,8310,42567,196.4
Southwark,E09000028,9514,31054,143.2
Sutton,E09000029,5118,24426,112.7
Tower Hamlets,E09000030,9279,29716,137.1
Waltham Forest,E09000031,6806,24476,112.9
Wandsworth,E09000032,13655,41584,191.8
Westminster,E09000033,13821,67389,310.9
Column Total,Column Total,273521,31094,173.3
