,coef,sig,P>|z|,[0.025,0.975]
Intercept,185.123,***,0.000,87.042,283.20
intervention,-427.503,***,0.000,-535.0,-319.9
time1,0.112,,0.168,-0.047,0.272
time2,15.542,***,0.000,13.178,17.905
dow_1,2.798,***,0.000,2.072,3.523
dow_2,5.000,***,0.000,4.264,5.736
dow_3,7.601,***,0.000,6.847,8.355
dow_4,13.325,***,0.000,12.573,14.078
dow_5,8.351,***,0.000,7.569,9.132
dow_6,-14.308,***,0.000,-15.12,-13.48
Rden_centered,-0.010,***,0.000,-0.011,-0.008
Sfem_centered,-806.001,***,0.000,-1116.,-495.6
Hedu_centered,-110.775,*,0.035,-213.4,-8.055
Scar_centered,-85.332,*,0.012,-152.1,-18.48
CarWork_centered,70.289,,0.277,-56.34,196.91
Swfh_centered,80.283,.,0.060,-3.413,163.97
PTAI_centered,3.749,***,0.000,3.178,4.320
fuel_price,-0.787,*,0.033,-1.513,-0.062
intervention:Rden_centered,0.000,,0.795,-0.000,0.000
intervention:Sfem_centered,-4.693,,0.831,-47.80,38.416
intervention:Hedu_centered,36.047,***,0.000,21.781,50.313
intervention:Scar_centered,-15.550,**,0.001,-24.83,-6.265
intervention:CarWork_centered,2.130,,0.812,-15.45,19.717
intervention:Swfh_centered,-35.890,***,0.000,-47.51,-24.26
intervention:PTAI_centered,0.123,**,0.002,0.044,0.202
intervention:fuel_price,2.954,***,0.000,2.188,3.720
time2:Rden_centered,-0.000,***,0.000,-0.000,-0.000
time2:Sfem_centered,-1.051,,0.109,-2.334,0.233
time2:Hedu_centered,-1.301,***,0.000,-1.726,-0.876
time2:Scar_centered,0.370,**,0.009,0.094,0.647
time2:CarWork_centered,-0.326,,0.223,-0.849,0.198
time2:Swfh_centered,1.257,***,0.000,0.911,1.603
time2:PTAI_centered,0.007,***,0.000,0.005,0.010
time2:fuel_price,-0.106,***,0.000,-0.122,-0.090
Group Var,6.306,***,0.000,5.747,6.866
