,coef,sig,P>|z|,[0.025,0.975]
Intercept,56.195,*,0.012,12.102,100.28
intervention,-108.520,***,0.000,-156.9,-60.12
time1,0.013,,0.719,-0.059,0.085
time2,2.981,***,0.000,1.924,4.038
dow_1,-0.338,*,0.040,-0.660,-0.015
dow_2,-0.691,***,0.000,-1.018,-0.364
dow_3,-0.042,,0.805,-0.377,0.293
dow_4,-1.523,***,0.000,-1.858,-1.189
dow_5,-6.569,***,0.000,-6.919,-6.218
dow_6,-8.024,***,0.000,-8.394,-7.653
Rden_centered,-0.000,,0.112,-0.000,0.000
Sfem_centered,12.625,,0.240,-8.441,33.691
Hedu_centered,20.534,***,0.000,13.571,27.497
Scar_centered,-2.277,,0.325,-6.815,2.260
CarWork_centered,-14.555,***,0.001,-23.14,-5.967
Swfh_centered,-22.369,***,0.000,-28.04,-16.69
PTAI_centered,-0.042,*,0.034,-0.081,-0.003
fuel_price,-0.156,,0.348,-0.483,0.170
intervention:Rden_centered,0.000,,0.547,-0.000,0.000
intervention:Sfem_centered,8.508,,0.389,-10.85,27.876
intervention:Hedu_centered,-3.681,,0.258,-10.06,2.702
intervention:Scar_centered,7.225,***,0.001,3.061,11.389
intervention:CarWork_centered,-10.901,**,0.007,-18.77,-3.030
intervention:Swfh_centered,-0.512,,0.847,-5.712,4.687
intervention:PTAI_centered,-0.021,,0.246,-0.057,0.015
intervention:fuel_price,0.767,***,0.000,0.422,1.112
time2:Rden_centered,0.000,,0.738,-0.000,0.000
time2:Sfem_centered,-0.557,.,0.059,-1.133,0.020
time2:Hedu_centered,-0.132,,0.172,-0.322,0.058
time2:Scar_centered,-0.123,.,0.051,-0.247,0.001
time2:CarWork_centered,0.136,,0.256,-0.098,0.370
time2:Swfh_centered,0.107,,0.175,-0.048,0.262
time2:PTAI_centered,0.000,,0.607,-0.001,0.001
time2:fuel_price,-0.021,***,0.000,-0.028,-0.014
Group Var,0.106,***,0.000,0.095,0.116
