,coef,sig,P>|z|,[0.025,0.975]
Intercept,2601.080,**,0.005,804.60,4397.5
intervention,7117.136,***,0.000,5146.0,9088.2
time1,4.213,**,0.005,1.285,7.141
time2,-472.511,***,0.000,-515.8,-429.1
dow_1,10.182,,0.133,-3.114,23.479
dow_2,1.712,,0.804,-11.78,15.206
dow_3,26.455,***,0.000,12.639,40.271
dow_4,-107.281,***,0.000,-121.0,-93.48
dow_5,152.022,***,0.000,137.69,166.35
dow_6,285.563,***,0.000,270.53,300.59
Rden_centered,-0.019,***,0.000,-0.027,-0.012
Sfem_centered,-4727.530,***,0.000,-6603.,-2852.
Hedu_centered,1368.601,***,0.000,747.95,1989.2
Scar_centered,-43.822,,0.832,-447.7,360.10
CarWork_centered,1934.906,***,0.000,1169.7,2700.0
Swfh_centered,-510.596,*,0.048,-1016.,-4.895
PTAI_centered,-2.170,,0.217,-5.618,1.278
fuel_price,6.136,,0.366,-7.160,19.433
intervention:Rden_centered,0.004,*,0.016,0.001,0.007
intervention:Sfem_centered,323.799,,0.422,-466.4,1114.0
intervention:Hedu_centered,-219.311,,0.100,-480.8,42.194
intervention:Scar_centered,113.089,,0.193,-57.10,283.28
intervention:CarWork_centered,97.599,,0.553,-224.7,419.97
intervention:Swfh_centered,99.153,,0.362,-113.9,312.22
intervention:PTAI_centered,0.072,,0.923,-1.381,1.524
intervention:fuel_price,-48.582,***,0.000,-62.62,-34.54
time2:Rden_centered,-0.000,,0.125,-0.000,0.000
time2:Sfem_centered,-8.753,,0.466,-32.28,14.775
time2:Hedu_centered,-3.274,,0.410,-11.06,4.513
time2:Scar_centered,1.690,,0.513,-3.377,6.758
time2:CarWork_centered,-14.052,**,0.004,-23.65,-4.454
time2:Swfh_centered,-5.793,.,0.074,-12.13,0.551
time2:PTAI_centered,0.025,,0.261,-0.018,0.068
time2:fuel_price,3.175,***,0.000,2.881,3.469
Group Var,0.648,***,0.000,0.589,0.707
