Date,ULSP
1/7/19,120.27
1/14/19,119.53
1/21/19,119.12
1/28/19,119.29
2/4/19,119.13
2/11/19,118.97
2/18/19,119.05
2/25/19,119.22
3/4/19,119.72
3/11/19,120.1
3/18/19,120.48
3/25/19,120.83
4/1/19,121.7
4/8/19,122.66
4/15/19,124.06
4/22/19,125.43
4/29/19,126.36
5/6/19,127.5
5/13/19,127.97
5/20/19,128.51
5/27/19,129.14
6/3/19,129.41
6/10/19,128.89
6/17/19,127.66
6/24/19,126.66
7/1/19,126.49
7/8/19,126.86
7/15/19,127.13
7/22/19,127.81
7/29/19,128.03
8/5/19,128.37
8/12/19,128.36
8/19/19,128.17
8/26/19,128.22
9/2/19,127.86
9/9/19,127.79
9/16/19,126.92
9/23/19,126.78
9/30/19,126.92
10/7/19,126.87
10/14/19,126.91
10/21/19,126.4
10/28/19,125.77
11/4/19,125.56
11/11/19,125.59
11/18/19,125.58
11/25/19,125.32
12/2/19,124.81
12/9/19,124.75
12/16/19,124.33
12/23/19,124.16
12/30/19,124.96
1/6/20,126.09
1/13/20,127.17
1/20/20,127.18
1/27/20,127.33
2/3/20,125.85
2/10/20,124.73
2/17/20,123.8
2/24/20,123.45
3/2/20,122.43
3/9/20,122.24
3/16/20,120.33
3/23/20,119.64
3/30/20,112.45
4/6/20,110.23
4/13/20,109.27
4/20/20,108.63
4/27/20,107.88
5/4/20,107.56
5/11/20,107.45
5/18/20,105.09
5/25/20,104.87
6/1/20,105.17
6/8/20,105.74
6/15/20,106.37
6/22/20,107.13
6/29/20,108.31
7/6/20,109.43
7/13/20,111.24
7/20/20,112.23
7/27/20,112.66
8/3/20,112.91
8/10/20,113.02
8/17/20,113.04
8/24/20,113.22
8/31/20,113.29
9/7/20,113.37
9/14/20,113.32
9/21/20,113.31
9/28/20,113.3
10/5/20,113.26
10/12/20,113.19
10/19/20,113.18
10/26/20,113.14
11/2/20,113.11
11/9/20,112.5
11/16/20,112.35
11/23/20,112.42
11/30/20,112.61
12/7/20,113.17
12/14/20,113.82
12/21/20,114.43
12/28/20,114.91
1/4/21,115.39
1/11/21,116.14
1/18/21,116.93
1/25/21,118.1
2/1/21,119.14
2/8/21,119.67
2/15/21,120.53
2/22/21,121.27
3/1/21,122.17
3/8/21,122.94
3/15/21,123.9
3/22/21,124.57
3/29/21,125.13
4/5/21,125.24
4/12/21,125.4
4/19/21,125.48
4/26/21,125.8
5/3/21,126.09
5/10/21,126.53
5/17/21,127.19
5/24/21,127.89
5/31/21,128.15
6/7/21,128.69
6/14/21,129.47
6/21/21,130.1
6/28/21,130.73
7/5/21,131.7
7/12/21,132.47
7/19/21,133.2
7/26/21,133.48
8/2/21,134.21
8/9/21,134.7
8/16/21,134.7
8/23/21,134.68
8/30/21,134.66
9/6/21,134.76
9/13/21,134.75
9/20/21,134.86
9/27/21,135.19
10/4/21,136.1
10/11/21,137.17
10/18/21,139.46
10/25/21,141.81
11/1/21,143.7
11/8/21,144.9
11/15/21,145.87
11/22/21,146.89
11/29/21,147.53
12/6/21,146.89
12/13/21,146.22
12/20/21,145.16
12/27/21,144.92
1/3/22,145.04
1/10/22,144.82
1/17/22,144.8
1/24/22,144.87
1/31/22,145.74
2/7/22,146.33
2/14/22,146.95
2/21/22,147.77
2/28/22,149.22
3/7/22,152.95
3/14/22,159.96
3/21/22,165.37
3/28/22,162.65
4/4/22,161.91
4/11/22,161.78
4/18/22,161.67
4/25/22,161.84
5/2/22,162.48
5/9/22,163.68
5/16/22,165.09
5/23/22,167.59
5/30/22,170.36
6/6/22,174.99
6/13/22,182.53
6/20/22,186.85
6/27/22,190.93
7/4/22,191.55
7/11/22,190.63
7/18/22,188.92
7/25/22,186.6
8/1/22,182.77
8/8/22,177.64
8/15/22,174.19
8/22/22,171.14
8/29/22,170.12
9/5/22,168.93
9/12/22,167.61
9/19/22,165.47
9/26/22,164
10/3/22,162.67
10/10/22,162.09
10/17/22,162.81
10/24/22,164.62
10/31/22,165.87
11/7/22,165.62
11/14/22,164.4
11/21/22,163.28
11/28/22,161.13
12/5/22,159.2
12/12/22,155.97
12/19/22,154.07
12/26/22,151.94
1/2/23,150.9
1/9/23,149.97
1/16/23,148.79
1/23/23,148.21
1/30/23,148.18
2/6/23,148.34
2/13/23,147.98
2/20/23,147.86
2/27/23,147.55
3/6/23,147.12
3/13/23,146.97
3/20/23,146.62
3/27/23,146.21
4/3/23,145.72
4/10/23,145.82
4/17/23,145.93
4/24/23,145.84
5/1/23,145.71
5/8/23,145.3
5/15/23,144.65
5/22/23,143.64
5/29/23,142.94
6/5/23,142.9
6/12/23,142.71
6/19/23,142.95
6/26/23,143.43
7/3/23,143.4
7/10/23,142.87
7/17/23,142.77
7/24/23,142.96
