day,LAD22CD,GLA,trip_count
2021-10-1,E09000001,4217.5920309887215,123
2021-10-1,E09000002,3522.0960905178276,6340
2021-10-1,E09000003,3368.2434183730593,9846
2021-10-1,E09000004,3208.6705903608063,8675
2021-10-1,E09000005,3371.536490886144,5962
2021-10-1,E09000006,3490.1347969012522,11201
2021-10-1,E09000007,2898.7255413345856,2698
2021-10-1,E09000008,3454.355753669879,10156
2021-10-1,E09000009,3553.461093622846,6734
2021-10-1,E09000010,3479.022325632621,6716
2021-10-1,E09000011,3390.228584508386,6028
2021-10-1,E09000012,2872.7717673795923,2088
2021-10-1,E09000013,3016.671565890404,2153
2021-10-1,E09000014,3445.630038476153,3084
2021-10-1,E09000015,3667.1715906322875,6408
2021-10-1,E09000016,3579.2187283869634,9690
2021-10-1,E09000017,3691.633945798051,8549
2021-10-1,E09000018,3256.038845202168,6557
2021-10-1,E09000019,2951.6729038987696,2027
2021-10-1,E09000020,2857.750934238412,1678
2021-10-1,E09000021,3193.147657387755,3968
2021-10-1,E09000022,3049.677464490276,4293
2021-10-1,E09000023,3217.726348692757,5362
2021-10-1,E09000024,3068.4663695090344,5167
2021-10-1,E09000025,3513.7936521344486,4970
2021-10-1,E09000026,3510.2331797529323,6992
2021-10-1,E09000027,3269.204819106073,4329
2021-10-1,E09000028,2917.155402712977,3746
2021-10-1,E09000029,3104.4697232428407,6804
2021-10-1,E09000030,2937.349987219137,2678
2021-10-1,E09000031,3339.41797616706,4583
2021-10-1,E09000032,3258.0029052841346,5392
2021-10-1,E09000033,2987.880413615249,2718
2021-10-10,E09000001,3937.2325925000437,100
2021-10-10,E09000002,4094.9010111325306,3925
2021-10-10,E09000003,3928.3659795738176,7131
2021-10-10,E09000004,3938.012037658822,5231
2021-10-10,E09000005,3683.6173735471243,3867
2021-10-10,E09000006,3950.7769793682965,6870
2021-10-10,E09000007,3354.046209473483,1945
2021-10-10,E09000008,4032.4621041417586,5785
2021-10-10,E09000009,3766.7073800752396,4735
2021-10-10,E09000010,4001.777200763554,4381
2021-10-10,E09000011,4082.8146124261984,3987
2021-10-10,E09000012,3211.9981003627413,1554
2021-10-10,E09000013,3287.354615712609,1598
2021-10-10,E09000014,3693.053875178629,2240
2021-10-10,E09000015,4138.133083746327,4415
2021-10-10,E09000016,4029.992304530776,5778
2021-10-10,E09000017,4213.472019657881,5404
2021-10-10,E09000018,3789.726829769928,4204
2021-10-10,E09000019,3450.693688440391,1503
2021-10-10,E09000020,3130.085932097164,1190
2021-10-10,E09000021,3758.345433724818,2381
2021-10-10,E09000022,3643.3700873875964,3058
2021-10-10,E09000023,3697.0052427280143,3546
2021-10-10,E09000024,3516.0590132662364,3166
2021-10-10,E09000025,3894.5778574994283,3360
2021-10-10,E09000026,4295.512498838981,4710
2021-10-10,E09000027,3397.937700177113,2986
2021-10-10,E09000028,3329.555409137494,2671
2021-10-10,E09000029,3815.358228871658,4168
2021-10-10,E09000030,3520.5497100871125,1970
2021-10-10,E09000031,3809.474631960031,2701
2021-10-10,E09000032,3401.6668206313193,3820
2021-10-10,E09000033,3238.8487313741293,1909
2021-10-11,E09000001,4973.764176881299,118
2021-10-11,E09000002,3737.3637456304914,6003
2021-10-11,E09000003,3527.197125147243,9607
2021-10-11,E09000004,3530.9495795046078,8139
2021-10-11,E09000005,3520.3027890698536,5560
2021-10-11,E09000006,3777.411895710756,10464
2021-10-11,E09000007,2896.152912477979,2496
2021-10-11,E09000008,3625.1384757358123,9236
2021-10-11,E09000009,3627.550405590482,6666
2021-10-11,E09000010,3581.0378523727572,6372
2021-10-11,E09000011,3673.5044536213645,5822
2021-10-11,E09000012,3096.0378799682517,2042
2021-10-11,E09000013,2951.535393530843,2168
2021-10-11,E09000014,3339.432510767728,3066
2021-10-11,E09000015,4093.766483659852,5672
2021-10-11,E09000016,3765.7850341425437,9355
2021-10-11,E09000017,3985.9745506738473,7925
2021-10-11,E09000018,3550.9567418759066,6255
