day,LAD22CD,activity_count
2021-10-1,E09000001,1081
2021-10-1,E09000002,2255
2021-10-1,E09000003,4175
2021-10-1,E09000004,3973
2021-10-1,E09000005,2607
2021-10-1,E09000006,5543
2021-10-1,E09000007,2772
2021-10-1,E09000008,4261
2021-10-1,E09000009,2914
2021-10-1,E09000010,2835
2021-10-1,E09000011,2994
2021-10-1,E09000012,1198
2021-10-1,E09000013,1737
2021-10-1,E09000014,1778
2021-10-1,E09000015,2568
2021-10-1,E09000016,4467
2021-10-1,E09000017,4339
2021-10-1,E09000018,2824
2021-10-1,E09000019,1482
2021-10-1,E09000020,1729
2021-10-1,E09000021,2125
2021-10-1,E09000022,2321
2021-10-1,E09000023,2106
2021-10-1,E09000024,2433
2021-10-1,E09000025,2848
2021-10-1,E09000026,2794
2021-10-1,E09000027,2405
2021-10-1,E09000028,2777
2021-10-1,E09000029,2836
2021-10-1,E09000030,1942
2021-10-1,E09000031,2068
2021-10-1,E09000032,2927
2021-10-1,E09000033,5001
2021-10-10,E09000001,405
2021-10-10,E09000002,1432
2021-10-10,E09000003,3184
2021-10-10,E09000004,2282
2021-10-10,E09000005,2016
2021-10-10,E09000006,3597
2021-10-10,E09000007,1741
2021-10-10,E09000008,2821
2021-10-10,E09000009,2368
2021-10-10,E09000010,2123
2021-10-10,E09000011,2596
2021-10-10,E09000012,845
2021-10-10,E09000013,1291
2021-10-10,E09000014,1879
2021-10-10,E09000015,1980
2021-10-10,E09000016,2991
2021-10-10,E09000017,2992
2021-10-10,E09000018,2102
2021-10-10,E09000019,792
2021-10-10,E09000020,1218
2021-10-10,E09000021,1422
2021-10-10,E09000022,1704
2021-10-10,E09000023,1491
2021-10-10,E09000024,1589
2021-10-10,E09000025,2199
2021-10-10,E09000026,2108
2021-10-10,E09000027,1718
2021-10-10,E09000028,1830
2021-10-10,E09000029,1822
2021-10-10,E09000030,1347
2021-10-10,E09000031,1377
2021-10-10,E09000032,1830
2021-10-10,E09000033,3341
2021-10-11,E09000001,1046
2021-10-11,E09000002,2159
2021-10-11,E09000003,3809
2021-10-11,E09000004,3691
2021-10-11,E09000005,2459
2021-10-11,E09000006,4929
2021-10-11,E09000007,2558
2021-10-11,E09000008,3632
2021-10-11,E09000009,2592
2021-10-11,E09000010,2505
2021-10-11,E09000011,2732
2021-10-11,E09000012,1125
2021-10-11,E09000013,1548
2021-10-11,E09000014,1609
2021-10-11,E09000015,1990
2021-10-11,E09000016,4303
2021-10-11,E09000017,3953
2021-10-11,E09000018,2545
2021-10-11,E09000019,1319
2021-10-11,E09000020,1427
2021-10-11,E09000021,1962
2021-10-11,E09000022,2006
2021-10-11,E09000023,1927
2021-10-11,E09000024,2008
2021-10-11,E09000025,2470
2021-10-11,E09000026,2635
2021-10-11,E09000027,2080
2021-10-11,E09000028,2401
2021-10-11,E09000029,2653
2021-10-11,E09000030,1884
2021-10-11,E09000031,1918
2021-10-11,E09000032,2595
2021-10-11,E09000033,4363
2021-10-12,E09000001,1331
2021-10-12,E09000002,2014
2021-10-12,E09000003,3488
2021-10-12,E09000004,3412
2021-10-12,E09000005,2876
2021-10-12,E09000006,4693
2021-10-12,E09000007,2529
2021-10-12,E09000008,3597
2021-10-12,E09000009,2543
2021-10-12,E09000010,2453
2021-10-12,E09000011,2623
