day,MSOA21CD,activity_count
2021-10-1,E02000001,1081
2021-10-1,E02000002,68
2021-10-1,E02000003,145
2021-10-1,E02000004,75
2021-10-1,E02000005,132
2021-10-1,E02000007,150
2021-10-1,E02000008,132
2021-10-1,E02000009,66
2021-10-1,E02000010,58
2021-10-1,E02000011,88
2021-10-1,E02000012,78
2021-10-1,E02000013,64
2021-10-1,E02000014,86
2021-10-1,E02000015,68
2021-10-1,E02000016,166
2021-10-1,E02000017,81
2021-10-1,E02000018,65
2021-10-1,E02000019,232
2021-10-1,E02000020,92
2021-10-1,E02000021,141
2021-10-1,E02000022,73
2021-10-1,E02000023,123
2021-10-1,E02000025,85
2021-10-1,E02000026,52
2021-10-1,E02000027,70
2021-10-1,E02000028,64
2021-10-1,E02000029,118
2021-10-1,E02000030,149
2021-10-1,E02000031,152
2021-10-1,E02000032,69
2021-10-1,E02000033,62
2021-10-1,E02000034,64
2021-10-1,E02000035,50
2021-10-1,E02000036,78
2021-10-1,E02000037,95
2021-10-1,E02000038,122
2021-10-1,E02000039,187
2021-10-1,E02000040,231
2021-10-1,E02000041,178
2021-10-1,E02000042,207
2021-10-1,E02000043,39
2021-10-1,E02000044,46
2021-10-1,E02000045,95
2021-10-1,E02000046,96
2021-10-1,E02000047,54
2021-10-1,E02000048,90
2021-10-1,E02000049,51
2021-10-1,E02000050,118
2021-10-1,E02000051,85
2021-10-1,E02000052,68
2021-10-1,E02000054,59
2021-10-1,E02000055,142
2021-10-1,E02000056,143
2021-10-1,E02000057,54
2021-10-1,E02000058,176
2021-10-1,E02000059,80
2021-10-1,E02000060,68
2021-10-1,E02000061,104
2021-10-1,E02000062,244
2021-10-1,E02000063,18
2021-10-1,E02000064,46
2021-10-1,E02000065,55
2021-10-1,E02000066,105
2021-10-1,E02000067,166
2021-10-1,E02000068,266
2021-10-1,E02000069,51
2021-10-1,E02000070,58
2021-10-1,E02000071,143
2021-10-1,E02000072,116
2021-10-1,E02000073,71
2021-10-1,E02000074,64
2021-10-1,E02000075,100
2021-10-1,E02000077,139
2021-10-1,E02000078,82
2021-10-1,E02000079,436
2021-10-1,E02000080,260
2021-10-1,E02000081,106
2021-10-1,E02000082,84
2021-10-1,E02000083,257
2021-10-1,E02000084,161
2021-10-1,E02000085,219
2021-10-1,E02000086,72
2021-10-1,E02000087,139
2021-10-1,E02000088,143
2021-10-1,E02000089,60
2021-10-1,E02000090,245
2021-10-1,E02000091,239
2021-10-1,E02000092,90
2021-10-1,E02000093,68
2021-10-1,E02000094,131
2021-10-1,E02000095,166
2021-10-1,E02000096,71
2021-10-1,E02000097,38
2021-10-1,E02000098,141
2021-10-1,E02000099,50
2021-10-1,E02000100,110
2021-10-1,E02000101,85
2021-10-1,E02000102,27
2021-10-1,E02000103,93
2021-10-1,E02000104,63
2021-10-1,E02000105,67
2021-10-1,E02000106,82
2021-10-1,E02000107,42
2021-10-1,E02000108,8
2021-10-1,E02000110,35
2021-10-1,E02000111,64
2021-10-1,E02000112,102
2021-10-1,E02000113,97
2021-10-1,E02000114,76
2021-10-1,E02000115,24
2021-10-1,E02000116,58
2021-10-1,E02000117,48
2021-10-1,E02000118,34
2021-10-1,E02000119,149
2021-10-1,E02000120,50
2021-10-1,E02000121,133
2021-10-1,E02000122,58
2021-10-1,E02000123,78
2021-10-1,E02000124,52
2021-10-1,E02000125,21
2021-10-1,E02000126,37
2021-10-1,E02000127,92
2021-10-1,E02000128,94
2021-10-1,E02000130,86
2021-10-1,E02000131,56
2021-10-1,E02000132,147
2021-10-1,E02000133,247
2021-10-1,E02000134,228
2021-10-1,E02000135,47
2021-10-1,E02000136,145
2021-10-1,E02000137,55
2021-10-1,E02000138,113
2021-10-1,E02000139,58
2021-10-1,E02000140,173
2021-10-1,E02000141,40
2021-10-1,E02000142,142
2021-10-1,E02000144,372
2021-10-1,E02000145,211
2021-10-1,E02000146,166
2021-10-1,E02000147,95
2021-10-1,E02000148,142
2021-10-1,E02000149,110
2021-10-1,E02000150,186
2021-10-1,E02000151,66
2021-10-1,E02000152,117
2021-10-1,E02000153,88
2021-10-1,E02000154,341
2021-10-1,E02000155,48
2021-10-1,E02000156,234
2021-10-1,E02000157,127
2021-10-1,E02000158,80
2021-10-1,E02000159,312
2021-10-1,E02000160,223
2021-10-1,E02000161,99
2021-10-1,E02000162,85
2021-10-1,E02000163,233
2021-10-1,E02000165,61
2021-10-1,E02000166,91
2021-10-1,E02000167,84
2021-10-1,E02000168,70
2021-10-1,E02000169,102
2021-10-1,E02000170,35
2021-10-1,E02000171,30
2021-10-1,E02000172,74
2021-10-1,E02000173,153
2021-10-1,E02000174,32
2021-10-1,E02000175,121
2021-10-1,E02000176,41
2021-10-1,E02000177,21
2021-10-1,E02000178,49
2021-10-1,E02000179,29
2021-10-1,E02000180,40
2021-10-1,E02000181,23
2021-10-1,E02000182,100
2021-10-1,E02000183,93
2021-10-1,E02000184,89
2021-10-1,E02000185,30
2021-10-1,E02000186,167
2021-10-1,E02000187,259
2021-10-1,E02000188,113
2021-10-1,E02000191,316
2021-10-1,E02000192,98
2021-10-1,E02000193,389
2021-10-1,E02000194,64
2021-10-1,E02000195,76
2021-10-1,E02000196,42
2021-10-1,E02000197,56
2021-10-1,E02000198,36
2021-10-1,E02000199,15
2021-10-1,E02000200,96
2021-10-1,E02000201,60
2021-10-1,E02000202,41
2021-10-1,E02000203,89
2021-10-1,E02000204,80
2021-10-1,E02000206,98
2021-10-1,E02000207,78
2021-10-1,E02000208,89
2021-10-1,E02000209,79
2021-10-1,E02000210,24
2021-10-1,E02000211,72
2021-10-1,E02000212,144
2021-10-1,E02000213,174
2021-10-1,E02000214,59
2021-10-1,E02000215,91
2021-10-1,E02000216,37
2021-10-1,E02000217,340
2021-10-1,E02000218,59
2021-10-1,E02000219,244
2021-10-1,E02000221,328
2021-10-1,E02000222,70
2021-10-1,E02000223,31
2021-10-1,E02000224,78
2021-10-1,E02000225,62
2021-10-1,E02000226,116
2021-10-1,E02000227,127
2021-10-1,E02000228,67
2021-10-1,E02000229,138
2021-10-1,E02000230,175
2021-10-1,E02000231,120
2021-10-1,E02000232,49
2021-10-1,E02000233,37
2021-10-1,E02000234,104
2021-10-1,E02000235,102
2021-10-1,E02000236,46
2021-10-1,E02000237,64
2021-10-1,E02000238,74
2021-10-1,E02000239,44
2021-10-1,E02000240,38
2021-10-1,E02000241,80
2021-10-1,E02000242,38
2021-10-1,E02000243,190
2021-10-1,E02000244,87
2021-10-1,E02000245,73
2021-10-1,E02000246,87
2021-10-1,E02000247,65
2021-10-1,E02000248,65
2021-10-1,E02000249,126
2021-10-1,E02000250,25
2021-10-1,E02000251,25
2021-10-1,E02000252,200
2021-10-1,E02000253,71
2021-10-1,E02000254,44
2021-10-1,E02000255,44
2021-10-1,E02000256,99
2021-10-1,E02000258,19
2021-10-1,E02000259,30
2021-10-1,E02000260,120
2021-10-1,E02000261,56
2021-10-1,E02000262,107
2021-10-1,E02000263,44
2021-10-1,E02000264,51
2021-10-1,E02000265,73
2021-10-1,E02000266,107
2021-10-1,E02000267,69
2021-10-1,E02000268,60
2021-10-1,E02000269,78
2021-10-1,E02000270,62
2021-10-1,E02000271,38
2021-10-1,E02000272,52
2021-10-1,E02000275,58
2021-10-1,E02000276,40
2021-10-1,E02000277,34
2021-10-1,E02000278,47
2021-10-1,E02000279,69
2021-10-1,E02000280,79
2021-10-1,E02000281,51
2021-10-1,E02000282,80
2021-10-1,E02000283,43
2021-10-1,E02000284,116
2021-10-1,E02000285,36
2021-10-1,E02000286,60
2021-10-1,E02000287,120
2021-10-1,E02000288,269
2021-10-1,E02000289,53
2021-10-1,E02000290,114
2021-10-1,E02000291,129
2021-10-1,E02000292,114
2021-10-1,E02000293,47
2021-10-1,E02000294,58
2021-10-1,E02000295,67
2021-10-1,E02000296,201
2021-10-1,E02000297,53
2021-10-1,E02000298,102
2021-10-1,E02000299,38
2021-10-1,E02000300,23
2021-10-1,E02000301,37
2021-10-1,E02000302,77
2021-10-1,E02000303,72
2021-10-1,E02000304,35
2021-10-1,E02000305,50
2021-10-1,E02000306,169
2021-10-1,E02000307,54
2021-10-1,E02000308,59
2021-10-1,E02000309,132
2021-10-1,E02000311,42
2021-10-1,E02000312,43
2021-10-1,E02000313,39
2021-10-1,E02000314,153
2021-10-1,E02000315,117
2021-10-1,E02000317,26
2021-10-1,E02000318,42
2021-10-1,E02000319,101
2021-10-1,E02000320,26
2021-10-1,E02000321,34
2021-10-1,E02000323,96
2021-10-1,E02000324,34
2021-10-1,E02000326,24
2021-10-1,E02000327,81
2021-10-1,E02000328,55
2021-10-1,E02000329,34
2021-10-1,E02000331,53
2021-10-1,E02000332,53
2021-10-1,E02000333,69
2021-10-1,E02000334,62
2021-10-1,E02000335,27
2021-10-1,E02000337,54
2021-10-1,E02000339,135
2021-10-1,E02000340,254
2021-10-1,E02000341,68
2021-10-1,E02000342,81
2021-10-1,E02000343,38
2021-10-1,E02000344,54
2021-10-1,E02000345,33
2021-10-1,E02000346,29
2021-10-1,E02000347,15
2021-10-1,E02000348,16
2021-10-1,E02000350,15
2021-10-1,E02000351,29
2021-10-1,E02000352,27
2021-10-1,E02000353,47
2021-10-1,E02000354,26
2021-10-1,E02000355,27
2021-10-1,E02000356,17
2021-10-1,E02000357,12
2021-10-1,E02000358,48
2021-10-1,E02000359,23
2021-10-1,E02000360,31
2021-10-1,E02000361,102
2021-10-1,E02000362,47
2021-10-1,E02000363,72
2021-10-1,E02000364,32
2021-10-1,E02000366,20
2021-10-1,E02000367,40
2021-10-1,E02000368,33
2021-10-1,E02000369,65
2021-10-1,E02000370,31
2021-10-1,E02000372,110
