,coef,sig,P>|z|,[0.025,0.975]
Intercept,78.789,***,0.000,74.659,82.918
intervention,-5.286,***,0.000,-6.113,-4.458
time1,-0.053,*,0.029,-0.101,-0.006
time2,0.271,***,0.000,0.220,0.322
dow_1,2.837,***,0.000,2.114,3.561
dow_2,5.080,***,0.000,4.355,5.804
dow_3,7.720,***,0.000,6.995,8.446
dow_4,13.461,***,0.000,12.752,14.169
dow_5,8.537,***,0.000,7.827,9.247
dow_6,-13.840,***,0.000,-14.56,-13.11
Rden_centered,-0.010,***,0.000,-0.011,-0.008
Sfem_centered,-806.001,***,0.000,-1116.,-495.5
Hedu_centered,-110.775,*,0.035,-213.4,-8.053
Scar_centered,-85.332,*,0.012,-152.1,-18.47
CarWork_centered,70.289,,0.277,-56.34,196.92
Swfh_centered,80.283,.,0.060,-3.415,163.98
PTAI_centered,3.749,***,0.000,3.178,4.320
intervention:Rden_centered,0.000,,0.796,-0.000,0.000
intervention:Sfem_centered,-4.693,,0.831,-47.90,38.520
intervention:Hedu_centered,36.047,***,0.000,21.746,50.347
intervention:Scar_centered,-15.550,**,0.001,-24.85,-6.243
intervention:CarWork_centered,2.130,,0.813,-15.49,19.760
intervention:Swfh_centered,-35.890,***,0.000,-47.54,-24.23
intervention:PTAI_centered,0.123,**,0.002,0.043,0.202
time2:Rden_centered,-0.000,***,0.000,-0.000,-0.000
time2:Sfem_centered,-1.051,,0.109,-2.338,0.236
time2:Hedu_centered,-1.301,***,0.000,-1.727,-0.875
time2:Scar_centered,0.370,**,0.009,0.093,0.647
time2:CarWork_centered,-0.326,,0.224,-0.851,0.199
time2:Swfh_centered,1.257,***,0.000,0.910,1.604
time2:PTAI_centered,0.007,***,0.000,0.005,0.010
Group Var,6.276,***,0.000,5.719,6.833
