,coef,sig,P>|z|,[0.025,0.975]
Intercept,35.137,***,0.000,34.714,35.559
intervention,0.981,***,0.000,0.610,1.352
time1,-0.020,.,0.074,-0.041,0.002
time2,-0.008,,0.501,-0.031,0.015
dow_1,-0.346,*,0.035,-0.667,-0.025
dow_2,-0.709,***,0.000,-1.030,-0.387
dow_3,-0.069,,0.676,-0.390,0.253
dow_4,-1.561,***,0.000,-1.875,-1.246
dow_5,-6.610,***,0.000,-6.928,-6.292
dow_6,-7.995,***,0.000,-8.323,-7.666
Rden_centered,-0.000,,0.112,-0.000,0.000
Sfem_centered,12.616,,0.241,-8.454,33.686
Hedu_centered,20.531,***,0.000,13.566,27.496
Scar_centered,-2.279,,0.325,-6.818,2.259
CarWork_centered,-14.552,***,0.001,-23.14,-5.963
Swfh_centered,-22.371,***,0.000,-28.04,-16.69
PTAI_centered,-0.042,*,0.034,-0.081,-0.003
intervention:Rden_centered,0.000,,0.539,-0.000,0.000
intervention:Sfem_centered,8.601,,0.384,-10.78,27.982
intervention:Hedu_centered,-3.681,,0.259,-10.06,2.706
intervention:Scar_centered,7.232,***,0.001,3.066,11.399
intervention:CarWork_centered,-10.935,**,0.007,-18.81,-3.059
intervention:Swfh_centered,-0.511,,0.847,-5.714,4.692
intervention:PTAI_centered,-0.021,,0.243,-0.057,0.014
time2:Rden_centered,0.000,,0.749,-0.000,0.000
time2:Sfem_centered,-0.560,.,0.057,-1.137,0.017
time2:Hedu_centered,-0.132,,0.174,-0.322,0.058
time2:Scar_centered,-0.124,.,0.050,-0.248,0.000
time2:CarWork_centered,0.137,,0.251,-0.097,0.372
time2:Swfh_centered,0.107,,0.174,-0.047,0.262
time2:PTAI_centered,0.000,,0.603,-0.001,0.001
Group Var,0.106,***,0.000,0.095,0.116
